ano	url
2018	https://www.ufrn.br/imprensa/noticias/15420/eaj-promove-semana-de-ciencia-e-tecnologia
2018	https://www.ufrn.br/imprensa/noticias/16102/processo-seletivo-cursos-tecnicos-eaj
2019	https://www.ufrn.br/imprensa/noticias/22104/eaj-divulga-edital-para-cursos-integrados
2019	https://www.ufrn.br/imprensa/noticias/24890/escola-agricola-de-jundiai-completa-70-anos
2019	https://www.ufrn.br/imprensa/noticias/26315/pesquisa-da-eaj-avalia-qualidade-de-sementes
2020	https://www.ufrn.br/imprensa/noticias/33100/eaj-ufrn-produz-alimentos-para-doacao-na-pandemia
2020	https://www.ufrn.br/imprensa/noticias/35411/pesquisadores-da-eaj-desenvolvem-acoes-sustentaveis
2021	https://www.ufrn.br/imprensa/noticias/42198/eaj-abre-inscricoes-para-especializacao-em-agroecologia
2021	https://www.ufrn.br/imprensa/noticias/45021/escola-agricola-de-jundiai-inova-em-aulas-praticas-remotas
2021	https://www.ufrn.br/imprensa/noticias/47832/projeto-de-extensao-da-eaj-atende-agricultores-familiares
2022	https://www.ufrn.br/imprensa/noticias/53102/eaj-recebe-investimentos-para-modernizacao-de-laboratorios
2022	https://www.ufrn.br/imprensa/noticias/55940/cursos-da-eaj-obtêm-nota-maxima-em-avaliacao-do-mec
2022	https://www.ufrn.br/imprensa/noticias/58120/eaj-sedia-encontro-nacional-de-ciencias-agrarias
2023	https://www.ufrn.br/imprensa/noticias/64105/eaj-comemora-avancos-em-projetos-de-piscicultura
2023	https://www.ufrn.br/imprensa/noticias/67300/processo-seletivo-da-eaj-bate-recorde-de-inscritos
2023	https://www.ufrn.br/imprensa/noticias/69841/estudantes-da-eaj-sao-premiados-em-congresso-nacional
2024	https://www.ufrn.br/imprensa/noticias/75120/eaj-inaugura-novo-complexo-de-pesquisa-agropecuaria
2024	https://www.ufrn.br/imprensa/noticias/78410/expansao-dos-cursos-tecnicos-na-escola-agricola-de-jundiai
2025	https://www.ufrn.br/imprensa/noticias/83210/eaj-ufrn-lidera-iniciativas-de-inovacao-no-semiarido
2025	https://www.ufrn.br/imprensa/noticias/86900/semana-de-agropecuaria-da-eaj-reune-pesquisadores
